Type,SKU,Name,Published,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta:stage_download_links
simple,LC-011,DMX Console 192ch,1,visible,Compact DMX desk,Basic control for small fixtures,169,Lighting Control,"DJ & Party,Wedding & Events",Power,N/A,1,1,Control Protocol,DMX512,1,1,Certification,"CE",1,1,https://example.com/manuals/lc-011.pdf
simple,LC-012,DMX Console 512ch,1,visible,Pro DMX console,Reliable show control with scenes,399,Lighting Control,"Theater & Auditorium,TV Studio",Power,N/A,1,1,Control Protocol,DMX512,1,1,Certification,"CE|FCC",1,1,https://example.com/manuals/lc-012.pdf
simple,LC-013,DMX Console 1024ch,1,visible,Flagship lighting console,Advanced busking and playback controls,899,Lighting Control,"Concert & Touring,TV Studio",Power,N/A,1,1,Control Protocol,DMX512,1,1,Certification,"CE|FCC",1,1,https://example.com/manuals/lc-013.pdf
simple,LC-014,DMX Splitter 4-Way,1,visible,Signal distribution 4-way,Stable DMX split for medium rigs,89,Lighting Control,"Concert & Touring,Theater & Auditorium",Power,N/A,1,1,Control Protocol,DMX512,1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/lc-014.pdf
simple,LC-015,DMX Splitter 8-Way,1,visible,Signal distribution 8-way,Professional DMX distribution for events,139,Lighting Control,"Concert & Touring,TV Studio",Power,N/A,1,1,Control Protocol,DMX512,1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/lc-015.pdf
simple,LC-016,Wireless DMX TX/RX Kit,1,visible,Wireless DMX pair,Flexible cable-free DMX transmission,179,Lighting Control,"Wedding & Events,Nightclub & Bar",Power,N/A,1,1,Control Protocol,Wireless DMX,1,1,Certification,"CE|FCC",1,1,https://example.com/manuals/lc-016.pdf
simple,LC-017,Dimmer Pack 4ch,1,visible,4-channel dimmer pack,Control halogen and tungsten fixtures,119,Lighting Control,"Theater & Auditorium,TV Studio",Power,N/A,1,1,Control Protocol,DMX512,1,1,Certification,"CE",1,1,https://example.com/manuals/lc-017.pdf
simple,LC-018,Signal Booster,1,visible,DMX signal booster,Amplified signal for long runs,69,Lighting Control,"Concert & Touring,Architectural Lighting",Power,N/A,1,1,Control Protocol,DMX512,1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/lc-018.pdf
simple,LC-019,Art-Net Node 4 Port,1,visible,Ethernet to DMX gateway,Networked lighting control interface,249,Lighting Control,"TV Studio,Architectural Lighting",Power,N/A,1,1,Control Protocol,"Art-Net|DMX512",1,1,Certification,"CE|FCC",1,1,https://example.com/manuals/lc-019.pdf
simple,LC-020,Timecode Trigger Controller,1,visible,Show sync controller,Trigger cues with SMPTE/timecode,329,Lighting Control,"Concert & Touring,TV Studio",Power,N/A,1,1,Control Protocol,"DMX512|MIDI",1,1,Certification,"CE",1,1,https://example.com/manuals/lc-020.pdf
simple,SS-021,Aluminum Truss 1m,1,visible,Modular truss segment,Lightweight segment for rig build,79,Stage Structure,"Concert & Touring,Wedding & Events",Power,N/A,1,1,Application,"Concert & Touring|Wedding & Events",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-021.pdf
simple,SS-022,Aluminum Truss 2m,1,visible,Modular truss segment 2m,Standard segment for stage grid systems,129,Stage Structure,"Concert & Touring,Theater & Auditorium",Power,N/A,1,1,Application,"Concert & Touring|Theater & Auditorium",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-022.pdf
simple,SS-023,Truss Corner 2-Way,1,visible,Corner connector 2-way,Secure corner for truss layouts,99,Stage Structure,"Concert & Touring,Wedding & Events",Power,N/A,1,1,Application,"Concert & Touring|Wedding & Events",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-023.pdf
simple,SS-024,Truss Corner 3-Way,1,visible,Corner connector 3-way,Multi-direction corner connection,139,Stage Structure,"Concert & Touring,Architectural Lighting",Power,N/A,1,1,Application,"Concert & Touring|Architectural Lighting",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-024.pdf
simple,SS-025,Truss Base Plate,1,visible,Base plate for truss support,Stable ground mount for towers,109,Stage Structure,"Theater & Auditorium,Wedding & Events",Power,N/A,1,1,Application,"Theater & Auditorium|Wedding & Events",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-025.pdf
simple,SS-026,Lighting Stand 3m,1,visible,Portable lighting stand,Quick setup stand for events,89,Stage Structure,"DJ & Party,Wedding & Events",Power,N/A,1,1,Application,"DJ & Party|Wedding & Events",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-026.pdf
simple,SS-027,Lighting Stand 4m,1,visible,Heavy-duty lighting stand,Higher reach for larger venues,129,Stage Structure,"Concert & Touring,Theater & Auditorium",Power,N/A,1,1,Application,"Concert & Touring|Theater & Auditorium",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-027.pdf
simple,SS-028,Motor Hoist 500kg,1,visible,Chain hoist for rigging,Safe lifting solution for lighting truss,999,Stage Structure,"Concert & Touring,TV Studio",Power,N/A,1,1,Application,"Concert & Touring|TV Studio",1,1,Certification,"CE|UL",1,1,https://example.com/manuals/ss-028.pdf
simple,SS-029,Stage Clamp Set,1,visible,Rigging clamps and couplers,Universal clamp pack for fixtures,69,Stage Structure,"Concert & Touring,Nightclub & Bar",Power,N/A,1,1,Application,"Concert & Touring|Nightclub & Bar",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-029.pdf
simple,SS-030,Safety Cable 90cm,1,visible,Steel safety cable,Secondary fixture protection cable,15,Stage Structure,"Concert & Touring,Theater & Auditorium",Power,N/A,1,1,Application,"Concert & Touring|Theater & Auditorium",1,1,Certification,"CE",1,1,https://example.com/manuals/ss-030.pdf
simple,SE-031,Fog Machine 1200W,1,visible,High-output fog machine,Consistent fog volume for stage effects,199,Special Effects,"Nightclub & Bar,Wedding & Events",Power,1200W,1,1,Application,"Nightclub & Bar|Wedding & Events",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/se-031.pdf
simple,SE-032,Fog Machine 3000W,1,visible,Touring fog machine,Large output for concerts and shows,429,Special Effects,"Concert & Touring,Theater & Auditorium",Power,3000W,1,1,Application,"Concert & Touring|Theater & Auditorium",1,1,Certification,"CE|FCC",1,1,https://example.com/manuals/se-032.pdf
simple,SE-033,Hazer 1500W,1,visible,Fine haze generator,Uniform haze for beam visibility,339,Special Effects,"Concert & Touring,TV Studio",Power,1500W,1,1,Application,"Concert & Touring|TV Studio",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/se-033.pdf
simple,SE-034,Bubble Machine Dual Wheel,1,visible,Dual-wheel bubble machine,High bubble output for events,129,Special Effects,"Wedding & Events,DJ & Party",Power,200W,1,1,Application,"Wedding & Events|DJ & Party",1,1,Certification,"CE",1,1,https://example.com/manuals/se-034.pdf
simple,SE-035,Flame Machine DMX,1,visible,DMX controllable flame effect,Programmable flame column effects,899,Special Effects,"Concert & Touring,Nightclub & Bar",Power,1800W,1,1,Application,"Concert & Touring|Nightclub & Bar",1,1,Certification,"CE|UL",1,1,https://example.com/manuals/se-035.pdf
simple,SE-036,Snow Machine 1500W,1,visible,Artificial snow machine,Winter effects for shows and events,269,Special Effects,"Wedding & Events,Theater & Auditorium",Power,1500W,1,1,Application,"Wedding & Events|Theater & Auditorium",1,1,Certification,"CE",1,1,https://example.com/manuals/se-036.pdf
simple,SE-037,CO2 Jet DMX,1,visible,Stage CO2 jet effect,Instant plume effects for drops,699,Special Effects,"Concert & Touring,Nightclub & Bar",Power,600W,1,1,Application,"Concert & Touring|Nightclub & Bar",1,1,Certification,"CE",1,1,https://example.com/manuals/se-037.pdf
simple,SE-038,Cold Spark Machine,1,visible,Indoor safe spark effect,Low-smoke spark fountain for weddings,999,Special Effects,"Wedding & Events,Theater & Auditorium",Power,700W,1,1,Application,"Wedding & Events|Theater & Auditorium",1,1,Certification,"CE|UL",1,1,https://example.com/manuals/se-038.pdf
simple,SE-039,Confetti Launcher DMX,1,visible,Electric confetti launcher,Programmed confetti burst effects,359,Special Effects,"Concert & Touring,Wedding & Events",Power,400W,1,1,Application,"Concert & Touring|Wedding & Events",1,1,Certification,"CE",1,1,https://example.com/manuals/se-039.pdf
simple,SE-040,Strobe 2000W,1,visible,High-power strobe light,Intense strobe bursts for live events,449,Special Effects,"Concert & Touring,Nightclub & Bar",Power,2000W,1,1,Application,"Concert & Touring|Nightclub & Bar",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/se-040.pdf
simple,CA-041,DMX Cable 3m,1,visible,3m shielded DMX cable,Reliable data transfer cable,12,Cables & Accessories,"Concert & Touring,TV Studio",Power,N/A,1,1,Application,"Concert & Touring|TV Studio",1,1,Certification,"RoHS",1,1,https://example.com/manuals/ca-041.pdf
simple,CA-042,DMX Cable 5m,1,visible,5m shielded DMX cable,Stable DMX signal extension,18,Cables & Accessories,"Concert & Touring,TV Studio",Power,N/A,1,1,Application,"Concert & Touring|TV Studio",1,1,Certification,"RoHS",1,1,https://example.com/manuals/ca-042.pdf
simple,CA-043,DMX Cable 10m,1,visible,10m shielded DMX cable,Longer DMX line for stage wiring,29,Cables & Accessories,"Concert & Touring,Theater & Auditorium",Power,N/A,1,1,Application,"Concert & Touring|Theater & Auditorium",1,1,Certification,"RoHS",1,1,https://example.com/manuals/ca-043.pdf
simple,CA-044,Power Cable 2m,1,visible,Power cable 2m,Standard AC cable for fixtures,9,Cables & Accessories,"DJ & Party,Wedding & Events",Power,N/A,1,1,Application,"DJ & Party|Wedding & Events",1,1,Certification,"CE",1,1,https://example.com/manuals/ca-044.pdf
simple,CA-045,Power Cable 5m,1,visible,Power cable 5m,Extended power lead for rigging,15,Cables & Accessories,"Concert & Touring,Theater & Auditorium",Power,N/A,1,1,Application,"Concert & Touring|Theater & Auditorium",1,1,Certification,"CE",1,1,https://example.com/manuals/ca-045.pdf
simple,CA-046,PowerCON Connector Set,1,visible,PowerCON in/out connector,Secure locking connector set,11,Cables & Accessories,"Concert & Touring,TV Studio",Power,N/A,1,1,Application,"Concert & Touring|TV Studio",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/ca-046.pdf
simple,CA-047,XLR Connector Set,1,visible,3-pin XLR connector pair,Signal connector set for custom cables,7,Cables & Accessories,"Concert & Touring,Nightclub & Bar",Power,N/A,1,1,Application,"Concert & Touring|Nightclub & Bar",1,1,Certification,"RoHS",1,1,https://example.com/manuals/ca-047.pdf
simple,CA-048,Flight Case for 2 Heads,1,visible,Protective road case,Safe transport for moving head pair,189,Cables & Accessories,"Concert & Touring,Theater & Auditorium",Power,N/A,1,1,Application,"Concert & Touring|Theater & Auditorium",1,1,Certification,"CE",1,1,https://example.com/manuals/ca-048.pdf
simple,CA-049,Flight Case for 4 Pars,1,visible,Protective case for pars,Durable transport case for LED pars,149,Cables & Accessories,"Wedding & Events,DJ & Party",Power,N/A,1,1,Application,"Wedding & Events|DJ & Party",1,1,Certification,"CE",1,1,https://example.com/manuals/ca-049.pdf
simple,CA-050,Tool Kit for Rigging,1,visible,Rigging maintenance tool kit,Essential toolkit for installation teams,79,Cables & Accessories,"Concert & Touring,Architectural Lighting",Power,N/A,1,1,Application,"Concert & Touring|Architectural Lighting",1,1,Certification,"CE",1,1,https://example.com/manuals/ca-050.pdf
